序號,項目名稱,英文名,發展商,位置,近90日月租範圍_元,近90月呎租範圍_元每呎,租賃資料類型,近90日成交量_宗,近90日呎價範圍_元每呎,近90日平均呎價_元每呎,備註,資料來源
1,大埔寶馬山,Pacific Palisades,信和,山賢路8號,"18,000 – 30,000",32,屋苑放盤參考,5,"10,038 – 11,376","10,657",,美聯：https://www.midland.com.hk/zh-hk/estate/%E6%96%B0%E7%95%8C-%E5%A4%A7%E5%9F%94%E5%8D%8A%E5%B1%B1-%E5%A4%A7%E5%9F%94%E5%AF%B6%E9%A6%AC%E5%B1%B1-E11504；中原：https://hk.centanet.com/findproperty/list/transaction/%E5%A4%A7%E5%9F%94%E5%AF%B6%E9%A6%AC%E5%B1%B1_2-DCRVURVXRO
2,雍怡雅苑,Chateau Royale,新鴻基,雍宜路1號,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考；成交可參考中原連結,美聯：https://www.midland.com.hk/zh-hk/property/%E6%96%B0%E7%95%8C-%E5%A4%A7%E5%9F%94%E5%8D%8A%E5%B1%B1-%E9%9B%8D%E6%80%A1%E9%9B%85%E8%8B%91%E9%9B%8D%E6%97%A5%E5%BA%AD%E9%9B%8D%E5%AE%9C%E8%B7%AF1%E8%99%9F-%E7%8D%A8%E7%AB%8B%E5%B1%8B-M300300767；中原：https://hk.centanet.com/findproperty/list/transaction/%E9%9B%8D%E6%80%A1%E9%9B%85%E8%8B%91_2-DCRVURVXRO
3,泓山,Hampstead,建灝,逸遙路3號,—,—,—,0,—,—,近90日無二手成交；美聯無租務數據，建議查中原,中原：https://hk.centanet.com/findproperty/list/transaction/%E6%B3%93%E5%B1%B1_2-DCRVURVXRO
4,天鑽,The Regent,新鴻基,山塘路8號,"20,000 – 30,000",37 – 47,租務成交,16,"11,559 – 15,011","13,068",,美聯：https://www.midland.com.hk/zh-hk/estate/%E6%96%B0%E7%95%8C-%E5%A4%A7%E5%9F%94%E5%8D%8A%E5%B1%B1-%E5%A4%A9%E9%91%BD-E000016716；中原：https://hk.centanet.com/findproperty/list/transaction/%E5%A4%A9%E9%91%BD_2-DEPPWPPJPB
5,悠然山莊,The Paragon,加文,山賢路9號,"36,000",29,屋苑放盤參考,2,"9,069 – 9,497","9,283",,美聯：https://www.midland.com.hk/zh-hk/estate/%E6%96%B0%E7%95%8C-%E5%A4%A7%E5%9F%94%E5%8D%8A%E5%B1%B1-%E6%82%A0%E7%84%B6%E5%B1%B1%E8%8E%8A-E11584；中原：https://hk.centanet.com/findproperty/list/transaction/%E6%82%A0%E7%84%B6%E5%B1%B1%E8%8E%8A_2-DCRVURVXRO
6,偉東·雍宜山莊,Grand Dynasty View,—,下黃宜坳,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考,—
7,疊翠豪庭,The Paramount (4188),—,大埔公路大埔滘段4188號,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考,—
8,峰林軒,Daisyfield,—,大埔公路大埔滘段4135號,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考,—
9,史提福樓,Stafford House,—,大埔滘新圍,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考,—
10,逍遙雋岸,The Gables,興聯置業,逸遙路大埔滘段18號,—,—,—,0,—,—,近90日無二手成交；近90日無租務成交／放盤參考；成交可參考中原連結,美聯：https://www.midland.com.hk/zh-hk/estate/%E6%96%B0%E7%95%8C-%E5%A4%A7%E5%9F%94%E5%8D%8A%E5%B1%B1-%E9%80%8D%E9%81%99%E9%9B%8B%E5%B2%B8-E000004058；中原：https://hk.centanet.com/findproperty/list/transaction/%E9%80%8D%E9%81%99%E9%9B%8B%E5%B2%B8_2-DCRVURVXRO
